"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"AssignName";"SetName"
"ArcadeFruitMachine\ArcadeFruitMachine.Slave";"NoError, EmulTrap";"Arcade Fruit Machine by Zeppelin Games (c) 1991 - 1 disk.";"Arcade Fruit Machine";"1991 Zeppelin";"0";"A\ArcadeFruitMachine_v1.0.lha";"ArcadeFruitMachine";"ArcadeFruitMachine";"0";"whdload";"524288";"915084";"ArcadeFruitMachine";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"ArcadeTriviaQuiz\ArcadeTriviaQuiz.slave";"NoError, EmulTrap";"Arcade Trivia Quiz by Zeppelin Games (c) 1991 - 1 disk.";"Arcade Trivia Quiz";"1991 Zeppelin";"0";"A\ArcadeTriviaQuiz_v1.2_0936.lha";"ArcadeTriviaQuiz";"ArcadeTriviaQuiz";"0";"whdload";"524288";"504176";"ArcadeTriviaQuiz";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"ArcherMacLeansBillardAmcn\ArcherMacLeansBillardAmcn.Slave";"NoError, EmulTrap, NoKbd";"Archer Maclean Pool (c) 1992 Archer Maclean/Virgin.";"Archer Maclean Pool";"1992 Archer Maclean/Virgin";"0";"A\ArcherMacLeansBillardAmericain_v1.2.lha";"ArcherMacLeansBillardAmcn";"ArcherMacLeansBillardAmcn";"0";"whdload";"524288";"324953";"ArcherMacLeansBillardAmcn";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"ArcherMacLeansPool\ArcherMacLeansPool.Slave";"NoError, EmulTrap, NoKbd";"Archer Maclean Pool (c) 1992 Archer Maclean/Virgin.";"Archer Maclean Pool";"1992 Archer Maclean/Virgin";"0";"A\ArcherMacLeansPool_v1.2_1096.lha";"ArcherMacLeansPool";"ArcherMacLeansPool";"0";"whdload";"524288";"329514";"ArcherMacLeansPool";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"Archipelagos\Archipelagos.Slave";"NoError, EmulTrap, ClearMem";"Archipelagos ? 1989 Astral Software.";"Archipelagos";"1989 Astral Software";"0";"A\Archipelagos_v1.2_0627.lha";"Archipelagos";"Archipelagos";"0";"whdload";"524288";"306179";"Archipelagos";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"ArchipelagosNTSC\ArchipelagosNTSC.Slave";"NoError, EmulTrap, ClearMem";"Archipelagos ? 1989 Astral Software.";"Archipelagos";"1989 Astral Software";"0";"A\Archipelagos_v1.2_NTSC_0628.lha";"ArchipelagosNTSC";"ArchipelagosNTSC";"0";"whdload";"524288";"322692";"Archipelagos";"OCS/ECS";"";"";"";"NTSC";"";"A-Games";"Games"
"Arena\Arena.slave";"NoError, EmulTrap";"Arena by Psygnosis (c) 1986 - 1 disk.";"Arena";"1986 Psygnosis";"0";"A\Arena_v1.2.lha";"Arena";"Arena";"0";"whdload";"528384";"910162";"Arena";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"Arkanoid\Arkanoid.Slave";"NoError, EmulTrap";"Arkanoid ? 1987 Discovery Software Int..";"Arkanoid";"1987 Discovery Software International";"0";"A\Arkanoid_v1.9_0954.lha";"Arkanoid";"Arkanoid";"0";"whdload";"524288";"352867";"Arkanoid";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"ArkanoidNTSC\ArkanoidNTSC.Slave";"NoError, EmulTrap";"Arkanoid ? 1987 Discovery Software Int..";"Arkanoid";"1987 Discovery Software International";"0";"A\Arkanoid_v1.9_NTSC_1136.lha";"ArkanoidNTSC";"ArkanoidNTSC";"0";"whdload";"524288";"352643";"Arkanoid";"OCS/ECS";"";"";"";"NTSC";"";"A-Games";"Games"
"ArkanoidRevengeOfDoh\ArkanoidRevengeOfDoh.slave";"Disk, NoError";"Arkanoid - Revenge of Doh ? 1988 Imagine.";"";"";"";"A\ArkanoidRevengeOfDoh_v1.0_0765.lha";"ArkanoidRevengeOfDoh";"ArkanoidRevengeOfDoh";"0";"whdload";"524288";"416006";"ArkanoidRevengeOfDoh";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"ArmageddonMan\ArmageddonMan.Slave";"NoError, EmulTrap";"Armageddon Man (c) 1988 Electronic Pencil Co. Ltd/";"Armageddon Man";"1988 Electronic Pencil Co. Ltd/Martech";"0";"A\ArmageddonMan_v1.0_0629.lha";"ArmageddonMan";"ArmageddonMan";"0";"whdload";"524288";"371574";"ArmageddonMan";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"Armalyte\Armalyte.Slave";"NoError, EmulTrap, ClearMem";"Armalyte ? 1991 Thalamus.";"Armalyte";"1991 Thalamus";"0";"A\Armalyte_v1.2.lha";"Armalyte";"Armalyte";"0";"whdload";"524288";"1349333";"Armalyte";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"ArmyMoves\ArmyMoves.Slave";"NoError";"Army Moves by Imagine (c) 1987 - 1 disk.";"Army Moves";"1987 Imagine/Dinamic";"0";"A\ArmyMoves_v1.3_2442.lha";"ArmyMoves";"ArmyMoves";"0";"whdload";"524288";"130838";"ArmyMoves";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"Arnie\Arnie.slave";"NoError, EmulTrap";"Arnie by Zeppelin Games/Realms of Fantasy (c) 1992.";"Arnie";"1992 Zeppelin Games";"0";"A\Arnie_v1.1_1007.lha";"Arnie";"Arnie";"0";"whdload";"524288";"954941";"Arnie";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"Artura\Artura.Slave";"NoError, EmulTrap";"Artura (c) 1988 Gremlin/Arcadia - 1 disk.";"Artura";"1988 Gremlin";"0";"A\Artura_v1.1_1086.lha";"Artura";"Artura";"0";"whdload";"524288";"747935";"Artura";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"Astaroth\Astaroth.Slave";"NoError";"Astaroth ? 1989 Hewson.";"Astaroth";"1989 Hewson ";"0";"A\Astaroth_v1.0_1321.lha";"Astaroth";"Astaroth";"0";"whdload";"524288";"844724";"Astaroth";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
