ArchiveFile;SlaveFile;SlaveOutputFile;Name;Copy;Size;Version;Flags;BaseMemSize;KeyDebug;KeyExit;ExpMem
Millennium2-2.lha;Millennium Install\Millennium2-2.Slave;Millennium2-2.lha_Millennium2-2.Slave.txt;Millennium 2?2;1989 Ian Bird / Electric Dreams;2092;16;Disk, NoError, EmulTrap, EmulPriv;524288;0;59;290816
MindBender.lha;MindBenderHD\MindBender.slave;MindBender.lha_MindBender.slave.txt;MindBender;1989 Gremlin;4424;16;NoError, EmulPriv, Examine;524288;0;5d;786432
Mindfighter.lha;Mindfighter_Install\Mindfighter.slave;Mindfighter.lha_Mindfighter.slave.txt;Mindfighter;1988 Abstract Concepts;4592;17;NoError, EmulPriv, Examine;524288;0;59;262144
MindRoll.lha;MindRollHD\MindRoll.Slave;MindRoll.lha_MindRoll.Slave.txt;Mind-Roll;1988 Thalamus;4612;16;NoError, EmulTrap, NoDivZero, EmulPriv, Examine;524288;0;5d;327680
Mindshadow.lha;MindshadowHD\Mindshadow.slave;Mindshadow.lha_Mindshadow.slave.txt;Mindshadow;1985 Activision;4248;16;NoError, EmulPriv, ClearMem, Examine;524288;0;5d;393216
MindWalker.lha;MindWalkerHD\MindWalker.slave;MindWalker.lha_MindWalker.slave.txt;Mind Walker;1986 Bill Williams/Synapse;4228;16;NoError, EmulPriv, Examine;524288;0;5d;524288
MiniGolf.lha;MiniGolfHD\MiniGolf.Slave;MiniGolf.lha_MiniGolf.Slave.txt;Mini Golf;1988 Magic Bytes;3704;15;NoError, EmulPriv, Examine;524288;0;59;524288
MiniGolfPlus.lha;MiniGolfPlusHD\MiniGolfPlus.slave;MiniGolfPlus.lha_MiniGolfPlus.slave.txt;Mini Golf Plus;1988 Starbyte;4156;15;NoError, EmulPriv, Examine;524288;0;5d;524288
Minskies.lha;MinskiesHD\Minskies_aga.slave;Minskies.lha_Minskies_aga.slave.txt;Minskies - The Abduction (AGA);1994 Binary Emotions;8112;13;NoError, Req68020, ReqAGA, EmulPriv;2093056;0;59;262144
Minskies.lha;MinskiesHD\Minskies_ecs.slave;Minskies.lha_Minskies_ecs.slave.txt;Minskies - The Abduction (ECS);1994 Binary Emotions;8112;13;NoError, EmulPriv;1044480;0;59;262144
MisjaHarolda.lha;MisjaHaroldaHD\MisjaHarolda.slave;MisjaHarolda.lha_MisjaHarolda.slave.txt;Misja Harolda;1994 MarkSoft;4704;16;NoError, EmulPriv, ClearMem, Examine;524288;0;59;786432
MissilesOverXerion.lha;XerionHD\Xerion.slave;MissilesOverXerion.lha_Xerion.slave.txt;Missiles Over Xerion;1994 Kingsoft;1368;11;NoError, EmulTrap, ReqAGA, ClearMem;1048576;0;59;262144
MissionElevator.lha;MissionElevatorWHD\MissionElevator.slave;MissionElevator.lha_MissionElevator.slave.txt;<=/=/=/=/=[ Mission Elevator ]=\=\=\=\=>;1987 Micropartner;5160;15;EmulTrap, EmulPriv, Examine;524288;0;59;262144
Moebius.lha;Moebius_Install\Moebius.slave;Moebius.lha_Moebius.slave.txt;Moebius;1987 Origin;4560;17;NoError, EmulPriv, Examine;524288;0;59;262144
Moktar.lha;MoktarHD\Moktar.slave;Moktar.lha_Moktar.slave.txt;Moktar / Titus The Fox;1991-1992 Titus;5048;16;NoError, EmulPriv, Examine;524288;0;5d;786432
MonkeyIsland.lha;MonkeyIslandHD\MonkeyIsland.slave;MonkeyIsland.lha_MonkeyIsland.slave.txt;The Secret Of Monkey Island;1990 LucasFilm Games;4488;16;NoError, EmulPriv, Examine;524288;0;5d;786432
MonkeyIsland2.lha;MonkeyIsland2HD\MonkeyIsland2.slave;MonkeyIsland2.lha_MonkeyIsland2.slave.txt;Secret Of Monkey Island 2;1992 Lucasfilm Games;4364;16;NoError, EmulPriv, Examine;524288;0;5d;786432
MonsterBusiness.lha;MonsterBusiness_Install\MonsterBusiness.slave;MonsterBusiness.lha_MonsterBusiness.slave.txt;Monster Business;1991 Eclipse;1828;17;NoError, EmulTrap, ClearMem;524288;0;59;0
MontyPythonsFlyingCircus.lha;MontyPythonsFCHd\MontyPythonsFC.Slave;MontyPythonsFlyingCircus.lha_MontyPythonsFC.Slave.txt;Monty Pythons Flying Circus;1990 Core Design/Virgin Games;1632;10;NoError, EmulTrap, NoDivZero, NoKbd, ClearMem;524288;0;5d;0
MoonBlaster.lha;MoonBlasterHd\moonblaster.slave;MoonBlaster.lha_moonblaster.slave.txt;Moon Blaster;1990 Loriciel;868;10;NoError, EmulTrap, NoDivZero, ClearMem;1048576;0;5d;0
Moonfall.lha;MoonfallHD\Moonfall.slave;Moonfall.lha_Moonfall.slave.txt;Moonfall;1991 21st Century;4412;16;NoError, EmulPriv, Examine;524288;0;5d;786432
MoonshineRacers.lha;MoonshineRacersHD\MoonshineRacers.slave;MoonshineRacers.lha_MoonshineRacers.slave.txt;Moonshine Racers;1991 Peak Star/Millennium;2248;10;NoError, EmulTrap;524288;0;5d;0
Moonstone.lha;Moonstone Install\Moonstone.Slave;Moonstone.lha_Moonstone.Slave.txt;Moonstone;1991 Mindscape;29988;16;NoError;524288;0;59;565248
MoonWalker.lha;MoonWalkerHd\MoonWalker.slave;MoonWalker.lha_MoonWalker.slave.txt;MoonWalker;1989 Us Gold/Emerald Software;1476;10;NoError, EmulTrap, NoDivZero, ClearMem;1048576;0;5d;0
Morph.lha;MorphHD\Morph_AGA.slave;Morph.lha_Morph_AGA.slave.txt;Morph [AGA/CD32];1993 Millennium;4176;16;NoError, ReqAGA, EmulPriv, Examine;1376256;0;59;720896
Morph.lha;MorphHD\Morph_OCS.slave;Morph.lha_Morph_OCS.slave.txt;Morph (OCS);1993 Millennium;496;10;NoError, EmulTrap;524288;0;0;0
