"Year";"Url";"Id";"License";"Languages";"Disks";"Players";"Name";"Publisher";"Path";"Hardware";"Genre"
"1990";"http://www.lemonamiga.com/games/details.php?id=3095";"3095";"Commercial";"English";"1";"1 or 2, Simultaneous";"Sliders";"Microids";"s\sliders";"OCS";"Sports - Miscellaneous"
"1990";"http://www.lemonamiga.com/games/details.php?id=2987";"2987";"Commercial";"English";"1";"1 Only";"Sliding";"UGA";"s\sliding";"OCS";"Brain - Puzzle"
"1992";"http://www.lemonamiga.com/games/details.php?id=2726";"2726";"Commercial";"English";"1";"1 Only";"Sliding Skill";"Funworld";"s\sliding-skill";"OCS,ECS";"Brain - Puzzle"
"1991";"http://www.lemonamiga.com/games/details.php?id=2188";"2188";"Commercial";"English";"1";"1 Only";"Slightly Magic";"Codemasters";"s\slightly-magic";"OCS,ECS";"Platformer - Multi Screen"
"1989";"http://www.lemonamiga.com/games/details.php?id=973";"973";"Commercial";"English";"1";"1 or 2";"Slip Stream";"Microdeal";"s\slip-stream";"OCS";
"1989";"http://www.lemonamiga.com/games/details.php?id=1332";"1332";"Commercial";"English";"2";"1 Only";"Sly Spy: Secret Agent";"Ocean";"s\sly-spy-secret-agent";"OCS";"Arcade - Miscellaneous"
"1992";"http://www.lemonamiga.com/games/details.php?id=3124";"3124";"Commercial";"English";"1";"1 or 2, Simultaneous";"Smash";"Idea Software";"s\smash";"OCS,ECS";"Sports - Tennis"
"1992";"http://www.lemonamiga.com/games/details.php?id=3223";"3223";"Commercial";"English";"1";"1 Only";"Smash the Beast";"Avesoft";"s\smash-the-beast";"OCS,ECS";"Brain - Puzzle"
"1991";"http://www.lemonamiga.com/games/details.php?id=976";"976";"Commercial";"English";"1";"1 or 2, Simultaneous";"Smash TV";"Ocean";"s\smash-tv";"OCS,ECS";"Arcade - Miscellaneous"
"1994";"http://www.lemonamiga.com/games/details.php?id=3187";"3187";"Commercial";"Polish";"1";"1 Only";"Smuś";"L.K. Avalon";"s\smus";"OCS,ECS";"Platformer - Multi Screen"
"2015";"http://www.lemonamiga.com/games/details.php?id=3671";"3671";"Public Domain/Freeware";"English";"1";"1 Only";"Smurf Rescue";"(unknown)";"s\smurf-rescue";"OCS,ECS";"Platformer - Scrolling Screen"
"1993";"http://www.lemonamiga.com/games/details.php?id=2884";"2884";"Commercial";"English";"2";"1 Only";"Snapperazzi";"Alternative Software";"s\snapperazzi";"OCS,ECS";"Platformer - Scrolling Screen"
"1992";"http://www.lemonamiga.com/games/details.php?id=3262";"3262";"Commercial";"English";"1";"1 Only";"Snare";"Enigma Software Developments";"s\snare";"OCS,ECS";
"1994";"http://www.lemonamiga.com/games/details.php?id=3704";"3704";"Shareware";"English";"1";"1 to 6, Simultaneous";"Sneech";"(unknown)";"s\sneech";"OCS,ECS";"Arcade - Tron"
"1991";"http://www.lemonamiga.com/games/details.php?id=3096";"3096";"Commercial";"English";"1";"1 Only";"Snoball in Hell";"Atlantis Software";"s\snoball-in-hell";"OCS,ECS";"Arcade - Breakout/Pong"
"1989";"http://www.lemonamiga.com/games/details.php?id=1633";"1633";"Commercial";"English";"1";"1 Only";"Snoopy and Peanuts";"The Edge";"s\snoopy-and-peanuts";"OCS";"Adventure - Miscellaneous"
