Year;Url;Path;License;Disks;Players;Name;Publisher;Language;Hardware;Genre;_Query
1988;http://www.lemonamiga.com/games/details.php?id=2274;s\sarcophaser;Commercial;1;1 Only;Sarcophaser;Rainbow Arts;English;OCS;;Sarcophaser Rainbow Arts
1988;http://www.lemonamiga.com/games/details.php?id=3092;s\sargon-iii;Commercial;1;;Sargon III;Hayden Software;English;OCS;Board - Chess;Sargon III Hayden Software
1990;http://www.lemonamiga.com/games/details.php?id=2189;s\sas-combat-simulator;Commercial;1;1 Only;SAS Combat Simulator;Codemasters;English;OCS;;SAS Combat Simulator Codemasters
1992;http://www.lemonamiga.com/games/details.php?id=2840;s\sat1-bingo;Commercial;1;1 to 3;Sat.1 Bingo;PCSL Software;German;OCS,ECS;Educational - Quiz;Sat.1 Bingo PCSL Software
1990;http://www.lemonamiga.com/games/details.php?id=2057;s\satan;Commercial;1;1 Only;Satan;Dinamic Software;English;OCS,ECS;;Satan Dinamic Software
1989;http://www.lemonamiga.com/games/details.php?id=930;s\savage;Commercial;2;1 Only;Savage;Firebird;English;OCS;;Savage Firebird
1989;http://www.lemonamiga.com/games/details.php?id=931;s\scapeghost;Commercial;1;1 Only;Scapeghost;Level 9 Computing;English;OCS;Adventure - Graphics/Text;Scapeghost Level 9 Computing
1989;http://www.lemonamiga.com/games/details.php?id=2129;s\scary-mutant-space-aliens-from-mars;Commercial;2;1 Only;Scary Mutant Space Aliens from Mars;ReadySoft;English;OCS;Adventure - Graphics/Text;Scary Mutant Space Aliens from Mars ReadySoft
1992;http://www.lemonamiga.com/games/details.php?id=3716;s\schwarze-auge-das-die-schicksalsklinge;Commercial;8;1 Only;Schwarze Auge, Das: Die Schicksalsklinge;attic Entertainment Software;German;OCS,ECS;Adventure - RPG 3D;Schwarze Auge, Das: Die Schicksalsklinge attic Entertainment Software
1991;http://www.lemonamiga.com/games/details.php?id=2301;s\scooby-doo-and-scrappy-doo;Commercial;2;1 Only;Scooby Doo and Scrappy Doo;Hi-Tec Software;English;OCS,ECS;Platformer - Scrolling Screen;Scooby Doo and Scrappy Doo Hi-Tec Software
1994;http://www.lemonamiga.com/games/details.php?id=1325;s\scorched-tanks;Shareware;1;1 to 4;Scorched Tanks;Dark Unicorn;English;OCS,ECS;Strategy - War;Scorched Tanks Dark Unicorn
1989;http://www.lemonamiga.com/games/details.php?id=2694;s\scorpion;Commercial;1;1 Only;Scorpion;Digital Magic Software;English;OCS;Platformer - Scrolling Screen;Scorpion Digital Magic Software
1992;http://www.lemonamiga.com/games/details.php?id=2034;s\scrabble;Commercial;1;1 to 4;Scrabble;US Gold;English;OCS,ECS;Board - Miscellaneous;Scrabble US Gold
1990;http://www.lemonamiga.com/games/details.php?id=2454;s\scramble-spirits;Commercial;1;1 or 2, Simultaneous;Scramble Spirits;Grandslam;English;OCS;;Scramble Spirits Grandslam
1987;http://www.lemonamiga.com/games/details.php?id=3445;s\screaming-wings;Commercial;1;1 Only;Screaming Wings;Red Rat Software;English;OCS;;Screaming Wings Red Rat Software
1995;http://www.lemonamiga.com/games/details.php?id=2296;s\screech;Shareware;1;1 or 2, Simultaneous;Screech;17 Bit Software;English;OCS,ECS;Racing - Overhead;Screech 17 Bit Software
