"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query"
"NoError";"921600";"B\BaygonAGA\BaygonAGA.Slave";"Baygon ? 1993 Melon.";"0";"BaygonAGA";"Baygon";"1993 Melon Dezign";"1802240";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Baygon";"AGA";"";"";"";"";"";"baygon aga melon dezign"
"NoError";"920987";"B\Baygon\Baygon.Slave";"Baygon ? 1993 Melon.";"0";"Baygon";"Baygon";"1993 Melon Dezign";"1802240";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Baygon";"OCS/ECS";"";"";"";"";"";"baygon melon dezign"
"NoError, EmulTrap, ClearMem";"108246";"B\BBSIntro\BBSIntro.Slave";"BBS Intro ? 1992 Technology.";"0";"BBSIntro";"BBS Intro";"1992 Taurus";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BBS";"OCS/ECS";"";"";"";"Intro";"";"bbsintro bbs intro taurus"
"NoError, ClearMem";"161643";"B\BeachVolleyDemo\BeachVolleyDemo.Slave";"Beach Volley demo ? 1990 Paradox";"0";"BeachVolleyDemo";"Beach Volley demo";"1990 Paradox";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BeachVolley";"OCS/ECS";"";"";"Demo";"";"";"beach volley demo paradox"
"NoError, EmulPriv";"910986";"B\BeastSonix\BeastSonix.Slave";"Beast Sonix, ?1989 Scoopex";"0";"BeastSonix";"-* B E A S T   S O N I X *-";"1989 Scoopex";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BeastSonix";"OCS/ECS";"";"";"";"";"";"beast sonix 1 scoopex"
"NoError, EmulTrap, ClearMem";"852880";"B\BeatBox\BeatBox.Slave";"Beat Box ? 1989 The Warfalcons.";"0";"BeatBox";"Beat Box";"1989 The Warfalcons";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BeatBox";"OCS/ECS";"";"";"";"";"";"beat box warfalcons"
"NoError, EmulTrap, ClearMem";"921096";"B\Beatvise\Beatvise.Slave";"Beatvise ? 1989 Ivory.";"0";"Beatvise";"Beatvise";"1989 Ivory";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Beatvise";"OCS/ECS";"";"";"";"";"";"beatvise ivory"
"NoError, EmulTrap, ClearMem";"167713";"B\Beginning\Beginning.Slave";"The Beginning ? 1990 Byterapers.";"0";"Beginning";"The Beginning";"1990 Byterapers";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Beginning";"OCS/ECS";"";"";"";"";"";"beginning the byterapers"
"NoError, EmulTrap, ClearMem";"925052";"B\BernhardSumnerMusicDisk1\BernhardSumnerMD1.Slave";"Bernhard Sumner Music Disk 1 ? 1991 Relay.";"0";"BernhardSumnerMusicDisk1";"Bernhard Sumner Music Disk 1";"1991 Relay";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BernhardSumnerMusicDisk1";"OCS/ECS";"";"";"";"";"";"bernhard sumner music disk 1 relay"
"NoError, EmulTrap";"923901";"B\BestOfGrubi\BestOfGrubi.Slave";"The Best of Grubi ? 1991 Brainstorm.";"0";"BestOfGrubi";"The Best of Grubi";"1991 Brainstorm";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BestOfGrubi";"OCS/ECS";"";"";"";"";"";"best of grubi the brainstorm"
"NoError, EmulTrap, ClearMem";"920460";"B\BestOfPearl\BestOfPearl.Slave";"The Best of Pearl ? 1991 Byte Busters.";"0";"BestOfPearl";"The Best of Pearl";"1991 Byte Busters";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BestOfPearl";"OCS/ECS";"";"";"";"";"";"best of pearl the byte busters"
