"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query"
"NoError";"930918";"R\Renegade\Renegade.slave";"Renegade by Taito (c) 1989 - 1 disk.";"0";"Renegade";"";"";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Renegade";"OCS/ECS";"";"";"";"";"";"renegade"
"NoError, EmulTrap, EmulPriv, Examine";"909710";"R\Renegade3\Renegade3.Slave";"Renegade 3 ? XCess (A.Mastromarino & J.Lewis).";"0";"Renegade3";"Renegade III";"Adam MASTROMARINO & Joseph LEWIS";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Renegade3";"OCS/ECS";"";"";"";"";"";"renegade iii the final chapter"
"Disk, NoError";"384653";"R\Renegades\RenegadesEditor.Slave";"Renegades ? 1991 Infernal Byte Systems.";"0";"Renegades";"-= Renegades Editor =-";"1991 Infernal Byte Systems";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Renegades";"OCS/ECS";"";"";"";"";"";"renegades editor"
"Disk, NoError";"384653";"R\Renegades\Renegades.Slave";"Renegades ? 1991 Infernal Byte Systems.";"0";"Renegades";"-= Renegades =-";"1991 Infernal Byte Systems";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Renegades";"OCS/ECS";"";"";"";"";"";"renegades"
"Disk, NoError, EmulTrap";"1826864";"R\Resolution101\Resolution101.Slave";"";"0";"Resolution101";"";"";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Resolution101";"OCS/ECS";"";"";"";"";"";"resolution 101"
"NoError, EmulTrap";"447741";"R\ReturnOfTheJedi\ReturnOfTheJedi.slave";"Return of the Jedi by Domark (c) 1989 - 1 disk.";"0";"ReturnOfTheJedi";"Return of the Jedi";"1989 Domark";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"ReturnOfTheJedi";"OCS/ECS";"";"";"";"";"";"return of the jedi"
"NoError, EmulPriv, Examine";"1553239";"R\ReturnToAtlantis\ReturnToAtlantis.Slave";"Return To Atlantis ? 1988 Electronic Arts";"0";"ReturnToAtlantis";"Return To Atlantis";"1988 Electronic Arts";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"ReturnToAtlantis";"OCS/ECS";"";"";"";"";"";"return to atlantis"
"NoError, EmulTrap";"396622";"R\ReturnToGenesis\ReturnToGenesis.Slave";"Return to Genesis (c) 1988 Firebird - 1 disk.";"0";"ReturnToGenesis";"Return To Genesis";"1988 Firebird";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"ReturnToGenesis";"OCS/ECS";"";"";"";"";"";"return to genesis"
"NoError, Req68020, ReqAGA, ClearMem, Examine";"6691380";"R\ReunionAGA\ReunionAGA.Slave";"Reunion ?1994 Grandslam";"0";"ReunionAGA";"Reunion (AGA)";"1994 Grandslam";"921600";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload_aga\combined";"Reunion";"AGA";"";"";"";"";"";"reunion"
"NoError, Req68020, ReqAGA, ClearMem, Examine";"7057216";"R\ReunionAGADe\ReunionAGADe.Slave";"Reunion ?1994 Grandslam";"0";"ReunionAGADe";"Reunion (AGA)";"1994 Grandslam";"921600";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload_aga\combined";"Reunion";"AGA";"De";"";"";"";"";"reunion"
