"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"Query";"ScreenshotMatch";"ScreenshotScore";"ScreenshotName";"ScreenshotFile";"ScreenshotDirectoryName"
"NoError, NoDivZero, Req68020, ReqAGA, ClearMem";"1608333";"A\Authentik\Authentik.Slave";"Authentik ? 1995 Skarla";"0";"Authentik";"Authentik";"1995 Skarla";"983040";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Authentik";"AGA";"";"";"";"";"authentik skarla";"Exact";"100";"authentik-skarla";"C:\Work\First Realize\amiga-demo-database\jasdd\a\authentik-skarla\screen_001.png";"authentik-skarla"
"NoError, EmulTrap, ClearMem";"925013";"A\AutumnNights\AutumnNights.Slave";"Autumn Nights ? 1992 Palace.";"0";"AutumnNights";"Autumn Nights";"1992 Palace";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"AutumnNights";"OCS/ECS";"";"";"";"";"autumn nights palace";"Exact";"100";"autumn-nights-palace";"C:\Work\First Realize\amiga-demo-database\jasdd\a\autumn-nights-palace\screen_001.PNG";"autumn-nights-palace"
"NoError, EmulTrap, ClearMem";"547099";"B\Back2Base\Back2Base.Slave";"Back 2 Base ? 1989 Crusaders.";"0";"Back2Base";"Back 2 Base";"1989 Crusaders";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Back2Base";"OCS/ECS";"";"";"";"";"back 2 base crusaders";"Exact";"100";"back-2-base-crusaders";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\b\back-2-base-crusaders\screen.png";"back-2-base-crusaders"
"Disk, NoError, EmulTrap";"922371";"B\Bacteria\Bacteria.slave";"Bacteria ? 19?? Crusaders.";"0";"Bacteria";"";"";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Bacteria";"OCS/ECS";"";"";"";"";"bacteria the crusaders";"Exact";"100";"bacteria-the-crusaders";"C:\Work\First Realize\amiga-demo-database\jasdd\b\bacteria-the-crusaders\screen_001.PNG";"bacteria-the-crusaders"
"NoError, EmulTrap, ClearMem";"918791";"B\BanditsRadio\BanditsRadio.Slave";"Bandit's Radio 1993 Mad Elks.";"0";"BanditsRadio";"Bandit";"1993 Mad Elks";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BanditsRadio";"OCS/ECS";"";"";"";"";"bandits radio bandit mad elks";"Best";"4,894323";"bandits-radio-mad-elks";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\b\bandits-radio-mad-elks\screen.png";"bandits-radio-mad-elks"
"NoError, EmulTrap, ClearMem";"921289";"B\BardInABox\BardInABox.Slave";"Bard In A Box ? 1991 Academy.";"0";"BardInABox";"Bard in a Box";"1991 Academy";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BardInABox";"OCS/ECS";"";"";"";"";"bard in abox box academy";"Best";"3,561711";"bard-in-a-box-academy";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\b\bard-in-a-box-academy\screen.gif";"bard-in-a-box-academy"
"NoError, EmulTrap, ClearMem";"796257";"B\BassoContinuo\BassoContinuo.Slave";"Basso Continuo ? 1992 Fury.";"0";"BassoContinuo";"Basso Continuo";"1992 Fury";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BassoContinuo";"OCS/ECS";"";"";"";"";"basso continuo fury";"Exact";"100";"basso-continuo-fury";"C:\Work\First Realize\amiga-demo-database\jasdd\b\basso-continuo-fury\screen_001.png";"basso-continuo-fury"
"NoError, EmulTrap, ClearMem";"1821989";"B\BassOMatic\BassOMatic.Slave";"Bass-O-Matic ? 1991 Crusaders.";"0";"BassOMatic";"Bass-O-Matic";"1991 Crusaders";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BassOMatic";"OCS/ECS";"";"";"";"";"bass omatic matic crusaders";"Best";"3,144418";"bass-o-matic-crusaders";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\b\bass-o-matic-crusaders\screen.gif";"bass-o-matic-crusaders"
"NoError, EmulTrap";"1826019";"B\BatmanVuelve\BatmanVuelve.Slave";"Batman Vuelve (c) 1995 Batman Group - 2 disks.";"0";"BatmanVuelve";"Batman Vuelve";"1995 Batman Group";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BatmanVuelve";"OCS/ECS";"";"";"";"";"batman vuelve group";"Best";"5,553734";"batman-vuelve-batman-group";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\b\batman-vuelve-batman-group\screen.jpg";"batman-vuelve-batman-group"
"NoError";"920987";"B\Baygon\Baygon.Slave";"Baygon ? 1993 Melon.";"0";"Baygon";"Baygon";"1993 Melon Dezign";"1802240";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Baygon";"OCS/ECS";"";"";"";"";"baygon melon dezign";"Exact";"100";"baygon-melon-dezign";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\b\baygon-melon-dezign\screen.gif";"baygon-melon-dezign"
"NoError, EmulTrap, ClearMem";"108246";"B\BBSIntro\BBSIntro.Slave";"BBS Intro ? 1992 Technology.";"0";"BBSIntro";"BBS Intro";"1992 Taurus";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BBS";"OCS/ECS";"";"";"";"Intro";"bbsintro bbs intro taurus";"Best";"2,18974";"bbs-intro-taurus";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\b\bbs-intro-taurus\screen.png";"bbs-intro-taurus"
"NoError, ClearMem";"161643";"B\BeachVolleyDemo\BeachVolleyDemo.Slave";"Beach Volley demo ? 1990 Paradox";"0";"BeachVolleyDemo";"Beach Volley demo";"1990 Paradox";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BeachVolley";"OCS/ECS";"";"";"Demo";"";"beach volley demo paradox";"Best";"3,911943";"beach-volley-paradox";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\b\beach-volley-paradox\screen.gif";"beach-volley-paradox"
"NoError, EmulPriv";"910986";"B\BeastSonix\BeastSonix.Slave";"Beast Sonix, ?1989 Scoopex";"0";"BeastSonix";"-* B E A S T   S O N I X *-";"1989 Scoopex";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BeastSonix";"OCS/ECS";"";"";"";"";"beast sonix 1 scoopex";"Best";"4,552474";"beast-sonix-scoopex";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\b\beast-sonix-scoopex\screen.jpg";"beast-sonix-scoopex"
"NoError, EmulTrap, ClearMem";"852880";"B\BeatBox\BeatBox.Slave";"Beat Box ? 1989 The Warfalcons.";"0";"BeatBox";"Beat Box";"1989 The Warfalcons";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BeatBox";"OCS/ECS";"";"";"";"";"beat box warfalcons";"Exact";"100";"beat-box-warfalcons";"C:\Work\First Realize\amiga-demo-database\jasdd\b\beat-box-warfalcons\screen_001.png";"beat-box-warfalcons"
"NoError, EmulTrap, ClearMem";"921096";"B\Beatvise\Beatvise.Slave";"Beatvise ? 1989 Ivory.";"0";"Beatvise";"Beatvise";"1989 Ivory";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Beatvise";"OCS/ECS";"";"";"";"";"beatvise ivory";"Exact";"100";"beatvise-ivory";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\b\beatvise-ivory\screen.gif";"beatvise-ivory"
"NoError, EmulTrap, ClearMem";"167713";"B\Beginning\Beginning.Slave";"The Beginning ? 1990 Byterapers.";"0";"Beginning";"The Beginning";"1990 Byterapers";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Beginning";"OCS/ECS";"";"";"";"";"beginning the byterapers";"Best";"4,329556";"the-beginning-byterapers";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\t\the-beginning-byterapers\screen.gif";"the-beginning-byterapers"
"NoError, EmulTrap, ClearMem";"925052";"B\BernhardSumnerMusicDisk1\BernhardSumnerMD1.Slave";"Bernhard Sumner Music Disk 1 ? 1991 Relay.";"0";"BernhardSumnerMusicDisk1";"Bernhard Sumner Music Disk 1";"1991 Relay";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BernhardSumnerMusicDisk1";"OCS/ECS";"";"";"";"";"bernhard sumner music disk 1 relay";"Best";"4,178555";"bernard-sumner-music-disk-1-relay";"C:\Work\First Realize\amiga-demo-database\jasdd\b\bernard-sumner-music-disk-1-relay\screen_001.PNG";"bernard-sumner-music-disk-1-relay"
"NoError, EmulTrap";"923901";"B\BestOfGrubi\BestOfGrubi.Slave";"The Best of Grubi ? 1991 Brainstorm.";"0";"BestOfGrubi";"The Best of Grubi";"1991 Brainstorm";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BestOfGrubi";"OCS/ECS";"";"";"";"";"best of grubi the brainstorm";"Best";"4,679508";"sounddisk-2-the-best-of-grubi-brainstorm";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\sounddisk-2-the-best-of-grubi-brainstorm\screen.png";"sounddisk-2-the-best-of-grubi-brainstorm"
"NoError, EmulTrap, ClearMem";"920460";"B\BestOfPearl\BestOfPearl.Slave";"The Best of Pearl ? 1991 Byte Busters.";"0";"BestOfPearl";"The Best of Pearl";"1991 Byte Busters";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BestOfPearl";"OCS/ECS";"";"";"";"";"best of pearl the byte busters";"Best";"5,950637";"the-best-of-pearl-byte-busters";"C:\Work\First Realize\amiga-demo-database\jasdd\t\the-best-of-pearl-byte-busters\screen_001.png";"the-best-of-pearl-byte-busters"
"NoError, EmulTrap, ClearMem";"1867914";"B\BestOfRAFVol1\BestOfRAFVol1.Slave";"Best of RAF Vol.1 1990 Katharsis.";"0";"BestOfRAFVol1";"Best of RAF Vol.1";"1990 Katharsis";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BestOfRAFVol1";"OCS/ECS";"";"";"";"";"best of rafvol 1 raf vol katharsis";"Best";"5,056229";"best-of-raf-vol-1-katharsis";"C:\Work\First Realize\amiga-demo-database\jasdd\b\best-of-raf-vol-1-katharsis\screen_001.png";"best-of-raf-vol-1-katharsis"
"NoError, EmulTrap, ClearMem";"455565";"B\BeyondJustice\BeyondJustice.Slave";"Beyond Justice ? 1991 Dexion.";"0";"BeyondJustice";"Beyond Justice";"1991 Dexion";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BeyondJustice";"OCS/ECS";"";"";"";"";"beyond justice dexion";"Exact";"100";"beyond-justice-dexion";"C:\Work\First Realize\amiga-demo-database\jasdd\b\beyond-justice-dexion\screen_001.PNG";"beyond-justice-dexion"
"NoError, EmulTrap, ReqAGA";"1867108";"B\BeyondTheFuture\BeyondTheFuture.Slave";"Beyond The Future ? 1994 Union.";"0";"BeyondTheFuture";"Beyond The Future";"1994 Union";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BeyondTheFuture";"AGA";"";"";"";"";"beyond the future union";"Exact";"100";"beyond-the-future-union";"C:\Work\First Realize\amiga-demo-database\jasdd\b\beyond-the-future-union\screen_001.png";"beyond-the-future-union"
"NoError, ClearMem";"607468";"B\BIGDemo\BIGDemo.Slave";"B.I.G. Demo ? 1988 The Exceptions/Mr.Styckx";"0";"BIGDemo";"The B.I.G. Demo";"1988 The Exceptions";"618496";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BIG";"OCS/ECS";"";"";"Demo";"";"the big demo mr styckx";"Exact";"100";"the-big-demo-mr-styckx";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\t\the-big-demo-mr-styckx\screen.png";"the-big-demo-mr-styckx"
"NoError, EmulTrap, ClearMem";"427646";"B\BigBusiness\BigBusiness.Slave";"Big Business ? 1991 Defjam.";"0";"BigBusiness";"Big Business";"1991 The Silents";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BigBusiness";"OCS/ECS";"";"";"";"";"big business defjam";"Exact";"100";"big-business-defjam";"C:\Work\First Realize\amiga-demo-database\jasdd\b\big-business-defjam\screen_001.PNG";"big-business-defjam"
"Disk, NoError, Req68020, ReqAGA";"1813467";"B\BigTimeSensuality\BigTimeSensuality.slave";"Big Time Sensuality ? 1994 Axis.";"0";"BigTimeSensuality";"Big Time Sensuality";"1994 Axis";"2019328";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BigTimeSensuality";"AGA";"";"";"";"";"big time sensuality axis";"Exact";"100";"big-time-sensuality-axis";"C:\Work\First Realize\amiga-demo-database\jasdd\b\big-time-sensuality-axis\screen_001.png";"big-time-sensuality-axis"
"Disk, NoError, EmulTrap";"914885";"B\BlackNWhite\BlackNWhite.Slave";"Black and White ? 1991 Pentagon/Drifters - 1 disk";"0";"BlackNWhite";"Black & White";"1991 Pentagon/Drifters";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BlackNWhite";"OCS/ECS";"";"";"";"";"black nwhite white pentagon drifters";"Best";"2,065008";"blackn-white-slide-drifters-pentagon-amiga";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\b\blackn-white-slide-drifters-pentagon-amiga\screen.jpg";"blackn-white-slide-drifters-pentagon-amiga"
"NoError, EmulTrap, ClearMem";"249242";"B\Blasting\Blasting.Slave";"Blasting ? 1989 Gate.";"0";"Blasting";"Blasting";"1989 Gate";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Blasting";"OCS/ECS";"";"";"";"";"blasting gate";"Exact";"100";"blasting-gate";"C:\Work\First Realize\amiga-demo-database\jasdd\b\blasting-gate\screen_001.png";"blasting-gate"
"NoError, EmulTrap, ClearMem";"253723";"B\BlueHouse2\BlueHouse2.Slave";"Blue House 2 ? 1991 Rebels.";"0";"BlueHouse2";"Blue House 2";"1991 Rebels";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BlueHouse2";"OCS/ECS";"";"";"";"";"blue house 2 rebels";"Exact";"100";"blue-house-2-rebels";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\b\blue-house-2-rebels\screen.png";"blue-house-2-rebels"
"NoError, EmulTrap, ClearMem";"1823511";"B\BluesHouse\BluesHouse.Slave";"Blues House ? 1991 The Silents.";"0";"BluesHouse";"Blues House";"1991 The Silents";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BluesHouse";"OCS/ECS";"";"";"";"";"blues house the silents";"Exact";"100";"blues-house-the-silents";"C:\Work\First Realize\amiga-demo-database\jasdd\b\blues-house-the-silents\screen_001.PNG";"blues-house-the-silents"
"NoError, EmulTrap, ClearMem";"906358";"B\BombTheBaseTuneshow2\BombTheBaseTuneshow2.Slave";"Bomb the Bass - Tuneshow 2 ? 1989 Trash & The Top Boys.";"0";"BombTheBaseTuneshow2";"Bomb the Bass - Tuneshow 2";"1989 Trash & The Top Boys";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BombTheBaseTuneshow2";"OCS/ECS";"";"";"";"";"bomb the base tuneshow 2 bass trash top boys";"Best";"3,701895";"bomb-the-bass-tuneshow-2-the-top-boys";"C:\Work\First Realize\amiga-demo-database\jasdd\b\bomb-the-bass-tuneshow-2-the-top-boys\screen_001.png";"bomb-the-bass-tuneshow-2-the-top-boys"
"NoError";"1679074";"B\BookOfSongs\BookOfSongs.Slave";"Book of Songs ? 1992 Complex.";"0";"BookOfSongs";"Book of Songs";"1992 Complex";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BookOfSongs";"OCS/ECS";"";"";"";"";"book of songs complex";"Exact";"100";"book-of-songs-complex";"C:\Work\First Realize\amiga-demo-database\jasdd\b\book-of-songs-complex\screen_001.png";"book-of-songs-complex"
"NoError, EmulTrap, ClearMem";"346190";"B\Boombastic\Boombastic.slave";"Our Definition of a Boombastic Demo Style ? 1991 Rebels.";"0";"Boombastic";"Our Definition of a Boombastic Demo Style";"1991 Rebels";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Boombastic";"OCS/ECS";"";"";"";"";"boombastic our definition of demo style rebels";"Best";"6,029328";"our-definition-of-a-boombastic-demo-style-rebels";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\o\our-definition-of-a-boombastic-demo-style-rebels\screen.gif";"our-definition-of-a-boombastic-demo-style-rebels"
"Disk, NoError, EmulTrap";"918460";"B\BorisVallejoSlide\BorisVallejoSlide.Slave";"Boris Vallejo ? 1996 Apocalypse Bay - 1 disk";"0";"BorisVallejoSlide";"Boris Vallejo slide";"1996 Apocalypse Bay";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BorisVallejoSlide";"OCS/ECS";"";"";"";"";"boris vallejo apocalypse bay";"Exact";"100";"boris-vallejo-slide";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\Demos Custom\boris-vallejo-slide\screen_001.png";"boris-vallejo-slide"
"Disk, NoError";"910279";"B\BoundlessVoid\BoundlessVoid.Slave";"Boundless Void ? 1993 Nemol (Melon).";"0";"BoundlessVoid";"Boundless Void";"1993 Melon";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BoundlessVoid";"OCS/ECS";"";"";"";"";"boundless void melon";"Best";"2,812579";"boundless-void-nemol";"C:\Work\First Realize\amiga-demo-database\jasdd\b\boundless-void-nemol\screen_001.png";"boundless-void-nemol"
"NoError, EmulTrap, ClearMem";"902316";"B\BreathOfTheMuse\BreathOfTheMuse.Slave";"The Breath of the Muse ? 1994 Chryseis & Poseidon.";"0";"BreathOfTheMuse";"The Breath of the Muse";"1994 Chryseis & Poseidon";"2097152";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BreathOfTheMuse";"OCS/ECS";"";"";"";"";"breath of the muse chryseis poseidon";"Best";"7,562471";"the-breath-of-the-muse-chryseis-poseidon";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\t\the-breath-of-the-muse-chryseis-poseidon\screen.jpg";"the-breath-of-the-muse-chryseis-poseidon"
"NoError, Req68020, ReqAGA, ClearMem";"3848577";"B\Breathtaker\Breathtaker.Slave";"Breathtaker ? 1994 Virtual Dreams";"0";"Breathtaker";"Breathtaker";"1994 Virtual Dreams";"536576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Breathtaker";"AGA";"";"";"";"";"breathtaker virtual dreams";"Best";"5,143919";"breathtaker-virtual-dreams-fairlight";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\b\breathtaker-virtual-dreams-fairlight\screen.jpg";"breathtaker-virtual-dreams-fairlight"
"NoError, EmulTrap, ClearMem";"805258";"B\BreedCD1\BreedCD1.Slave";"Music Disk 1 (Breed CD1) ? 1990 Nightbreed.";"0";"BreedCD1";"Breed CD 1 (Music Disk 1)";"1990 Nightbreed";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BreedCD1";"OCS/ECS";"";"";"";"";"breed cd 1 music disk nightbreed";"Best";"3,458058";"breed-cd1-musicdisk-10-nightbreed";"C:\Work\First Realize\amiga-demo-database\jasdd\b\breed-cd1-musicdisk-10-nightbreed\screen_001.png";"breed-cd1-musicdisk-10-nightbreed"
"NoError";"917598";"B\BrunosMusicBox2\BrunosMusicBox2.Slave";"Bruno's MusicBox 2 ? 1990 Gate.";"0";"BrunosMusicBox2";"Bruno";"1990 Gate";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BrunosMusicBox2";"OCS/ECS";"";"";"";"";"brunos music box 2 bruno gate";"Best";"1,86072";"brunos-musicbox-ii-gate";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\b\brunos-musicbox-ii-gate\screen.gif";"brunos-musicbox-ii-gate"
"NoError";"1816460";"B\BrunosMusicBox3\BrunosMusicBox3.Slave";"Bruno's MusicBox 3 ? 1991 Anarchy.";"0";"BrunosMusicBox3";"Bruno";"1991 Anarchy";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BrunosMusicBox3";"OCS/ECS";"";"";"";"";"brunos music box 3 bruno anarchy";"Best";"3,730454";"brunos-music-box-3-anarchy";"C:\Work\First Realize\amiga-demo-database\jasdd\b\brunos-music-box-3-anarchy\screen_001.PNG";"brunos-music-box-3-anarchy"
"NoError, EmulTrap, ClearMem";"98088";"B\BubonicPlague\BubonicPlague.Slave";"Bubonic Plague ? 1989 Bloodsuckers.";"0";"BubonicPlague";"Bubonic Plague";"1989 Bloodsuckers";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"BubonicPlague";"OCS/ECS";"";"";"";"";"bubonic plague bloodsuckers";"Exact";"100";"bubonic-plague-bloodsuckers";"C:\Work\First Realize\amiga-demo-database\jasdd\b\bubonic-plague-bloodsuckers\screen_001.png";"bubonic-plague-bloodsuckers"
